Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E06000054,Wiltshire,2,Household is deprived in one dimension,70924
E06000054,Wiltshire,3,Household is deprived in two dimensions,24198
E06000054,Wiltshire,4,Household is deprived in three dimensions,4848
E06000054,Wiltshire,5,Household is deprived in four dimensions,225
E06000055,Bedford,-8,Does not apply,0
E06000055,Bedford,1,Household is not deprived in any dimension,38704
E06000055,Bedford,2,Household is deprived in one dimension,24497
E06000055,Bedford,3,Household is deprived in two dimensions,9293
E06000055,Bedford,4,Household is deprived in three dimensions,2224
E06000055,Bedford,5,Household is deprived in four dimensions,232
E06000056,Central Bedfordshire,-8,Does not apply,0
E06000056,Central Bedfordshire,1,Household is not deprived in any dimension,66142
E06000056,Central Bedfordshire,2,Household is deprived in one dimension,38934
E06000056,Central Bedfordshire,3,Household is deprived in two dimensions,12938
E06000056,Central Bedfordshire,4,Household is deprived in three dimensions,2607
E06000056,Central Bedfordshire,5,Household is deprived in four dimensions,133
E06000057,Northumberland,-8,Does not apply,0
E06000057,Northumberland,1,Household is not deprived in any dimension,71280
E06000057,Northumberland,2,Household is deprived in one dimension,49905
E06000057,Northumberland,3,Household is deprived in two dimensions,20510
E06000057,Northumberland,4,Household is deprived in three dimensions,5035
E06000057,Northumberland,5,Household is deprived in four dimensions,191
E06000058,"Bournemouth, Christchurch and Poole",-8,Does not apply,0
E06000058,"Bournemouth, Christchurch and Poole",1,Household is not deprived in any dimension,83966
E06000058,"Bournemouth, Christchurch and Poole",2,Household is deprived in one dimension,59166
E06000058,"Bournemouth, Christchurch and Poole",3,Household is deprived in two dimensions,24231
E06000058,"Bournemouth, Christchurch and Poole",4,Household is deprived in three dimensions,5889
E06000058,"Bournemouth, Christchurch and Poole",5,Household is deprived in four dimensions,590
E06000059,Dorset,-8,Does not apply,0
E06000059,Dorset,1,Household is not deprived in any dimension,84472
E06000059,Dorset,2,Household is deprived in one dimension,59229
E06000059,Dorset,3,Household is deprived in two dimensions,21130
